GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
booking-restaurant-api,com.boot.bookingrestaurantapi,BookingRestaurantApiApplication,8,0,0,0,3,0,2,0,2,0
booking-restaurant-api,com.boot.bookingrestaurantapi.jsons,CreateReservationRest,0,31,0,0,0,13,0,9,0,9
booking-restaurant-api,com.boot.bookingrestaurantapi.jsons,RestaurantRest,18,27,0,0,6,13,6,7,6,7
booking-restaurant-api,com.boot.bookingrestaurantapi.jsons,ReservationRest,38,0,0,0,16,0,11,0,11,0
booking-restaurant-api,com.boot.bookingrestaurantapi.jsons,TurnRest,17,0,0,0,7,0,5,0,5,0
booking-restaurant-api,com.boot.bookingrestaurantapi.services.impl,ReservationServiceImpl,22,113,0,2,3,23,3,7,3,6
booking-restaurant-api,com.boot.bookingrestaurantapi.services.impl,RestaurantServiceImpl,0,48,0,0,0,8,0,7,0,7
booking-restaurant-api,com.boot.bookingrestaurantapi.services.impl,CancelReservationServiceImpl,0,39,0,0,0,10,0,4,0,4
booking-restaurant-api,com.boot.bookingrestaurantapi.entities,Restaurant,6,53,0,0,2,23,2,15,2,15
booking-restaurant-api,com.boot.bookingrestaurantapi.entities,Reservation,18,27,0,0,6,13,6,7,6,7
booking-restaurant-api,com.boot.bookingrestaurantapi.entities,Board,31,0,0,0,13,0,9,0,9,0
booking-restaurant-api,com.boot.bookingrestaurantapi.entities,Turn,6,18,0,0,2,8,2,5,2,5
booking-restaurant-api,com.boot.bookingrestaurantapi.controllers,ReservationController,12,15,0,0,2,3,1,2,1,2
booking-restaurant-api,com.boot.bookingrestaurantapi.controllers,CancelReservationController,0,15,0,0,0,3,0,2,0,2
booking-restaurant-api,com.boot.bookingrestaurantapi.controllers,RestaurantController,0,26,0,0,0,4,0,3,0,3
booking-restaurant-api,com.boot.bookingrestaurantapi.config,SwaggerConfig,15,0,0,0,4,0,2,0,2,0
booking-restaurant-api,com.boot.bookingrestaurantapi.responses,BookingResponse,28,27,0,0,13,10,5,5,5,5
booking-restaurant-api,com.boot.bookingrestaurantapi.dtos,ErrorDto,23,0,0,0,10,0,5,0,5,0
booking-restaurant-api,com.boot.bookingrestaurantapi.exceptions,InternalServerErrorException,14,7,0,0,2,2,1,1,1,1
booking-restaurant-api,com.boot.bookingrestaurantapi.exceptions,NotFountException,14,7,0,0,2,2,1,1,1,1
booking-restaurant-api,com.boot.bookingrestaurantapi.exceptions,BookingException,29,15,0,0,8,5,4,1,4,1
